time,tls,cur_phase,main_green,q_main,q_side,rem_before,rem_after,extended
42.0,J3,0,0,0.0,2.0,0.0,0.0,0
42.5,J1,1,0,0.0,2.0,2.5,2.5,0
42.5,J2,1,0,0.0,2.0,2.5,2.5,0
42.5,J3,1,0,0.0,2.0,2.5,2.5,0
43.0,J1,1,0,0.0,3.0,2.0,2.0,0
43.0,J2,1,0,0.0,2.0,2.0,2.0,0
43.0,J3,1,0,0.0,2.0,2.0,2.0,0
43.5,J1,1,0,0.0,3.0,1.5,1.5,0
43.5,J2,1,0,0.0,2.0,1.5,1.5,0
43.5,J3,1,0,0.0,2.0,1.5,1.5,0
44.0,J1,1,0,0.0,3.0,1.0,1.0,0
44.0,J2,1,0,0.0,2.0,1.0,1.0,0
44.0,J3,1,0,0.0,2.0,1.0,1.0,0
44.5,J1,1,0,0.0,3.0,0.5,0.5,0
44.5,J2,1,0,0.0,2.0,0.5,0.5,0
44.5,J3,1,0,0.0,2.0,0.5,0.5,0
45.0,J1,1,0,1.0,3.0,0.0,0.0,0
45.0,J2,1,0,0.0,2.0,0.0,0.0,0
45.0,J3,1,0,0.0,2.0,0.0,0.0,0
45.5,J1,2,0,0.0,2.0,41.5,41.5,0
45.5,J2,2,0,0.0,2.0,41.5,41.5,0
45.5,J3,2,0,0.0,1.0,41.5,41.5,0
46.0,J1,2,0,0.0,1.0,41.0,41.0,0
46.0,J2,2,0,0.0,0.0,41.0,41.0,0
46.0,J3,2,0,0.0,0.0,41.0,41.0,0
46.5,J1,2,0,1.0,0.0,40.5,40.5,0
46.5,J2,2,0,0.0,0.0,40.5,40.5,0
46.5,J3,2,0,0.0,0.0,40.5,40.5,0
47.0,J1,2,0,1.0,0.0,40.0,40.0,0
47.0,J2,2,0,0.0,0.0,40.0,40.0,0
47.0,J3,2,0,0.0,0.0,40.0,40.0,0
47.5,J1,2,0,1.0,0.0,39.5,39.5,0
47.5,J2,2,0,0.0,0.0,39.5,39.5,0
47.5,J3,2,0,0.0,0.0,39.5,39.5,0
48.0,J1,2,0,2.0,0.0,39.0,39.0,0
48.0,J2,2,0,0.0,0.0,39.0,39.0,0
48.0,J3,2,0,0.0,0.0,39.0,39.0,0
48.5,J1,2,0,1.0,0.0,38.5,38.5,0
48.5,J2,2,0,0.0,0.0,38.5,38.5,0
48.5,J3,2,0,0.0,0.0,38.5,38.5,0
49.0,J1,2,0,1.0,0.0,38.0,38.0,0
49.0,J2,2,0,1.0,0.0,38.0,38.0,0
49.0,J3,2,0,0.0,0.0,38.0,38.0,0
49.5,J1,2,0,2.0,0.0,37.5,37.5,0
49.5,J2,2,0,1.0,0.0,37.5,37.5,0
49.5,J3,2,0,0.0,0.0,37.5,37.5,0
50.0,J1,2,0,2.0,0.0,37.0,37.0,0
50.0,J2,2,0,1.0,0.0,37.0,37.0,0
50.0,J3,2,0,0.0,1.0,37.0,37.0,0
50.5,J1,2,0,3.0,0.0,36.5,36.5,0
50.5,J2,2,0,1.0,0.0,36.5,36.5,0
50.5,J3,2,0,0.0,0.0,36.5,36.5,0
51.0,J1,2,0,2.0,0.0,36.0,36.0,0
51.0,J2,2,0,1.0,0.0,36.0,36.0,0
51.0,J3,2,0,0.0,0.0,36.0,36.0,0
51.5,J1,2,0,2.0,0.0,35.5,35.5,0
51.5,J2,2,0,1.0,0.0,35.5,35.5,0
51.5,J3,2,0,0.0,0.0,35.5,35.5,0
